Time (s)	Extension	Load
  0.0000	-1.830E+0	10.730E-3
  1.0000	-1.830E+0	10.730E-3
  2.0000	-1.830E+0	13.420E-3
  3.0000	-1.830E+0	10.730E-3
  4.0000	-1.830E+0	13.420E-3
  5.0000	0.000E+0	10.730E-3
  6.0000	0.000E+0	13.420E-3
  7.0000	0.000E+0	13.420E-3
  8.0000	0.000E+0	13.420E-3
  9.0000	-10.000E-3	13.420E-3
 10.0000	-70.000E-3	10.730E-3
 11.0000	-140.000E-3	13.420E-3
 12.0000	-210.000E-3	10.730E-3
 13.0000	-270.000E-3	10.730E-3
 14.0000	-340.000E-3	10.730E-3
 15.0000	-410.000E-3	10.730E-3
 16.0000	-470.000E-3	13.420E-3
 17.0000	-540.000E-3	10.730E-3
 18.0000	-610.000E-3	10.730E-3
 19.0000	-670.000E-3	10.730E-3
 20.0000	-740.000E-3	10.730E-3
 21.0000	-810.000E-3	13.420E-3
 22.0000	-870.000E-3	10.730E-3
 23.0000	-940.000E-3	10.730E-3
 24.0000	-1.010E+0	10.730E-3
 25.0000	-1.070E+0	10.730E-3
 26.0000	-1.140E+0	10.730E-3
 27.0000	-1.210E+0	10.730E-3
 28.0000	-1.270E+0	10.730E-3
 29.0000	-1.340E+0	10.730E-3
 30.0000	-1.410E+0	10.730E-3
 31.0000	-1.470E+0	13.420E-3
 32.0000	-1.540E+0	10.730E-3
 33.0000	-1.610E+0	10.730E-3
 34.0000	-1.670E+0	10.730E-3
 35.0000	-1.740E+0	10.730E-3
 36.0000	-1.810E+0	10.730E-3
 37.0000	-1.870E+0	10.730E-3
 38.0000	-1.940E+0	10.730E-3
 39.0000	-2.010E+0	10.730E-3
 40.0000	-2.070E+0	10.730E-3
 41.0000	-2.140E+0	10.730E-3
 42.0000	-2.210E+0	10.730E-3
 43.0000	-2.270E+0	10.730E-3
 44.0000	-2.340E+0	10.730E-3
 45.0000	-2.410E+0	10.730E-3
 46.0000	-2.470E+0	10.730E-3
 47.0000	-2.540E+0	10.730E-3
 48.0000	-2.610E+0	10.730E-3
 49.0000	-2.670E+0	10.730E-3
 50.0000	-2.740E+0	10.730E-3
 51.0000	-2.810E+0	10.730E-3
 52.0000	-2.870E+0	-10.740E-3
 53.0000	-2.940E+0	-45.640E-3
 54.0000	-3.010E+0	-96.650E-3
 55.0000	-3.070E+0	-190.600E-3
 56.0000	-3.140E+0	-349.000E-3
 57.0000	-3.210E+0	-563.800E-3
 58.0000	-3.270E+0	-843.000E-3
 59.0000	-3.340E+0	-1.197E+0
 60.0000	-3.410E+0	-1.664E+0
 61.0000	-3.470E+0	-2.239E+0
 62.0000	-3.540E+0	-2.875E+0
 63.0000	-3.610E+0	-3.544E+0
 64.0000	-3.670E+0	-4.231E+0
 65.0000	-3.740E+0	-4.921E+0
 66.0000	-3.810E+0	-5.608E+0
 67.0000	-3.870E+0	-6.287E+0
 68.0000	-3.940E+0	-6.953E+0
 69.0000	-4.010E+0	-7.605E+0
 70.0000	-4.070E+0	-8.228E+0
 71.0000	-4.140E+0	-8.819E+0
 72.0000	-4.210E+0	-9.382E+0
 73.0000	-4.270E+0	-9.927E+0
 74.0000	-4.340E+0	-10.420E+0
 75.0000	-4.410E+0	-10.880E+0
 76.0000	-4.470E+0	-11.300E+0
 77.0000	-4.540E+0	-11.690E+0
 78.0000	-4.610E+0	-12.050E+0
 79.0000	-4.670E+0	-12.370E+0
 80.0000	-4.740E+0	-12.670E+0
 81.0000	-4.810E+0	-12.930E+0
 82.0000	-4.870E+0	-13.160E+0
 83.0000	-4.940E+0	-13.370E+0
 84.0000	-5.010E+0	-13.560E+0
 85.0000	-5.070E+0	-13.710E+0
 86.0000	-5.140E+0	-13.830E+0
 87.0000	-5.210E+0	-13.920E+0
 88.0000	-5.270E+0	-13.950E+0
 89.0000	-5.340E+0	-13.940E+0
 90.0000	-5.410E+0	-13.850E+0
 91.0000	-5.470E+0	-13.290E+0
 92.0000	-5.540E+0	-12.630E+0
 93.0000	-5.610E+0	-12.360E+0
 94.0000	-5.670E+0	-12.050E+0
 95.0000	-5.740E+0	-11.840E+0
 96.0000	-5.810E+0	-11.690E+0
 97.0000	-5.870E+0	-11.510E+0
 98.0000	-5.940E+0	-11.310E+0
 99.0000	-6.010E+0	-11.110E+0
100.0000	-6.070E+0	-10.900E+0
101.0000	-6.140E+0	-10.710E+0
102.0000	-6.210E+0	-10.490E+0
103.0000	-6.270E+0	-10.090E+0
104.0000	-6.340E+0	-9.739E+0
105.0000	-6.410E+0	-9.466E+0
106.0000	-6.470E+0	-9.203E+0
107.0000	-6.540E+0	-8.918E+0
108.0000	-6.610E+0	-8.628E+0
109.0000	-6.670E+0	-8.395E+0
110.0000	-6.740E+0	-8.134E+0
111.0000	-6.810E+0	-7.842E+0
112.0000	-6.870E+0	-7.611E+0
113.0000	-6.940E+0	-7.396E+0
114.0000	-7.010E+0	-7.267E+0
115.0000	-7.070E+0	-7.146E+0
116.0000	-7.140E+0	-7.042E+0
117.0000	-7.210E+0	-6.934E+0
118.0000	-7.270E+0	-6.754E+0
119.0000	-7.340E+0	-6.620E+0
120.0000	-7.410E+0	-6.515E+0
121.0000	-7.470E+0	-6.408E+0
122.0000	-7.540E+0	-6.322E+0
123.0000	-7.610E+0	-6.244E+0
124.0000	-7.670E+0	-6.182E+0
125.0000	-7.740E+0	-6.129E+0
126.0000	-7.810E+0	-6.072E+0
127.0000	-7.870E+0	-6.019E+0
128.0000	-7.940E+0	-5.944E+0
129.0000	-8.010E+0	-5.884E+0
130.0000	-8.070E+0	-5.839E+0
131.0000	-8.140E+0	-5.772E+0
132.0000	-8.210E+0	-5.705E+0
133.0000	-8.270E+0	-5.643E+0
134.0000	-8.340E+0	-5.589E+0
135.0000	-8.410E+0	-5.525E+0
136.0000	-8.470E+0	-5.458E+0
137.0000	-8.540E+0	-5.364E+0
138.0000	-8.610E+0	-5.254E+0
139.0000	-8.670E+0	-5.149E+0
140.0000	-8.740E+0	-5.087E+0
141.0000	-8.810E+0	-5.047E+0
142.0000	-8.870E+0	-5.009E+0
143.0000	-8.940E+0	-4.974E+0
144.0000	-9.010E+0	-4.937E+0
145.0000	-9.070E+0	-4.902E+0
146.0000	-9.140E+0	-4.872E+0
147.0000	-9.210E+0	-4.854E+0
148.0000	-9.270E+0	-4.832E+0
149.0000	-9.340E+0	-4.816E+0
150.0000	-9.410E+0	-4.768E+0
151.0000	-9.470E+0	-4.736E+0
152.0000	-9.540E+0	-4.709E+0
153.0000	-9.610E+0	-4.660E+0
154.0000	-9.670E+0	-4.601E+0
155.0000	-9.740E+0	-4.558E+0
156.0000	-9.810E+0	-4.513E+0
157.0000	-9.870E+0	-4.483E+0
158.0000	-9.940E+0	-4.467E+0
159.0000	-10.010E+0	-4.443E+0
160.0000	-10.070E+0	-4.416E+0
161.0000	-10.140E+0	-4.387E+0
162.0000	-10.210E+0	-4.349E+0
163.0000	-10.270E+0	-4.314E+0
164.0000	-10.340E+0	-4.301E+0
165.0000	-10.410E+0	-4.250E+0
166.0000	-10.470E+0	-4.207E+0
167.0000	-10.540E+0	-4.172E+0
168.0000	-10.610E+0	-4.118E+0
169.0000	-10.670E+0	-4.089E+0
170.0000	-10.740E+0	-4.064E+0
171.0000	-10.810E+0	-4.046E+0
172.0000	-10.870E+0	-4.075E+0
173.0000	-10.940E+0	-4.140E+0
174.0000	-10.960E+0	-4.024E+0
175.0000	-10.960E+0	-3.909E+0
176.0000	-10.960E+0	-3.836E+0
177.0000	-10.960E+0	-3.785E+0
178.0000	-9.830E+0	-1.238E+0
179.0000	-3.800E+0	21.470E-3
180.0000	-990.000E-3	51.000E-3
181.0000	2.670E+0	51.000E-3
