Time (s)	Extension	Load
  0.0000	0.000E+0	24.160E-3
  1.0000	0.000E+0	21.470E-3
  2.0000	0.000E+0	24.160E-3
  3.0000	-20.000E-3	10.730E-3
  4.0000	-80.000E-3	8.050E-3
  5.0000	-150.000E-3	10.730E-3
  6.0000	-220.000E-3	8.050E-3
  7.0000	-280.000E-3	8.050E-3
  8.0000	-350.000E-3	8.050E-3
  9.0000	-420.000E-3	10.730E-3
 10.0000	-480.000E-3	10.730E-3
 11.0000	-550.000E-3	8.050E-3
 12.0000	-620.000E-3	8.050E-3
 13.0000	-680.000E-3	8.050E-3
 14.0000	-750.000E-3	8.050E-3
 15.0000	-820.000E-3	8.050E-3
 16.0000	-890.000E-3	8.050E-3
 17.0000	-950.000E-3	8.050E-3
 18.0000	-1.020E+0	8.050E-3
 19.0000	-1.080E+0	5.360E-3
 20.0000	-1.150E+0	8.050E-3
 21.0000	-1.220E+0	5.360E-3
 22.0000	-1.280E+0	5.360E-3
 23.0000	-1.350E+0	5.360E-3
 24.0000	-1.420E+0	5.360E-3
 25.0000	-1.480E+0	5.360E-3
 26.0000	-1.550E+0	5.360E-3
 27.0000	-1.620E+0	5.360E-3
 28.0000	-1.680E+0	5.360E-3
 29.0000	-1.750E+0	5.360E-3
 30.0000	-1.820E+0	5.360E-3
 31.0000	-1.880E+0	5.360E-3
 32.0000	-1.950E+0	5.360E-3
 33.0000	-2.020E+0	5.360E-3
 34.0000	-2.080E+0	5.360E-3
 35.0000	-2.150E+0	5.360E-3
 36.0000	-2.220E+0	8.050E-3
 37.0000	-2.280E+0	5.360E-3
 38.0000	-2.350E+0	5.360E-3
 39.0000	-2.420E+0	5.360E-3
 40.0000	-2.480E+0	5.360E-3
 41.0000	-2.550E+0	5.360E-3
 42.0000	-2.620E+0	5.360E-3
 43.0000	-2.680E+0	5.360E-3
 44.0000	-2.750E+0	5.360E-3
 45.0000	-2.820E+0	5.360E-3
 46.0000	-2.880E+0	5.360E-3
 47.0000	-2.950E+0	5.360E-3
 48.0000	-3.020E+0	5.360E-3
 49.0000	-3.080E+0	5.360E-3
 50.0000	-3.150E+0	5.360E-3
 51.0000	-3.220E+0	5.360E-3
