Time (s)	Extension	Load
  0.0000	0.000E+0	21.470E-3
  1.0000	0.000E+0	21.470E-3
  2.0000	0.000E+0	21.470E-3
  3.0000	0.000E+0	21.470E-3
  4.0000	0.000E+0	21.470E-3
  5.0000	-70.000E-3	2.680E-3
  6.0000	-140.000E-3	2.680E-3
  7.0000	-200.000E-3	2.680E-3
  8.0000	-270.000E-3	5.360E-3
  9.0000	-340.000E-3	5.360E-3
 10.0000	-400.000E-3	2.680E-3
 11.0000	-470.000E-3	2.680E-3
 12.0000	-540.000E-3	2.680E-3
 13.0000	-600.000E-3	2.680E-3
 14.0000	-670.000E-3	2.680E-3
 15.0000	-740.000E-3	2.680E-3
 16.0000	-800.000E-3	2.680E-3
 17.0000	-870.000E-3	5.360E-3
 18.0000	-940.000E-3	2.680E-3
 19.0000	-1.000E+0	5.360E-3
 20.0000	-1.070E+0	5.360E-3
 21.0000	-1.140E+0	5.360E-3
 22.0000	-1.200E+0	5.360E-3
 23.0000	-1.270E+0	5.360E-3
 24.0000	-1.340E+0	5.360E-3
 25.0000	-1.400E+0	5.360E-3
 26.0000	-1.470E+0	5.360E-3
 27.0000	-1.540E+0	5.360E-3
 28.0000	-1.600E+0	5.360E-3
 29.0000	-1.670E+0	5.360E-3
 30.0000	-1.740E+0	5.360E-3
 31.0000	-1.800E+0	5.360E-3
 32.0000	-1.870E+0	5.360E-3
 33.0000	-1.940E+0	2.680E-3
 34.0000	-2.000E+0	5.360E-3
 35.0000	-2.070E+0	5.360E-3
 36.0000	-2.140E+0	5.360E-3
 37.0000	-2.200E+0	5.360E-3
 38.0000	-2.270E+0	5.360E-3
 39.0000	-2.340E+0	5.360E-3
 40.0000	-2.400E+0	5.360E-3
 41.0000	-2.470E+0	5.360E-3
 42.0000	-2.540E+0	5.360E-3
 43.0000	-2.600E+0	5.360E-3
 44.0000	-2.670E+0	5.360E-3
 45.0000	-2.740E+0	5.360E-3
 46.0000	-2.800E+0	5.360E-3
 47.0000	-2.870E+0	5.360E-3
 48.0000	-2.940E+0	5.360E-3
 49.0000	-3.000E+0	5.360E-3
 50.0000	-3.070E+0	5.360E-3
 51.0000	-3.140E+0	2.680E-3
 52.0000	-3.200E+0	2.680E-3
 53.0000	-3.270E+0	2.680E-3
 54.0000	-3.340E+0	2.680E-3
 55.0000	-3.400E+0	2.680E-3
 56.0000	-3.470E+0	2.680E-3
 57.0000	-3.540E+0	-5.370E-3
 58.0000	-3.600E+0	-56.380E-3
 59.0000	-3.670E+0	-123.500E-3
 60.0000	-3.740E+0	-222.800E-3
 61.0000	-3.800E+0	-362.400E-3
 62.0000	-3.870E+0	-547.700E-3
 63.0000	-3.940E+0	-783.900E-3
 64.0000	-4.000E+0	-1.085E+0
 65.0000	-4.070E+0	-1.431E+0
 66.0000	-4.140E+0	-1.809E+0
 67.0000	-4.200E+0	-2.199E+0
 68.0000	-4.270E+0	-2.591E+0
 69.0000	-4.340E+0	-2.980E+0
 70.0000	-4.400E+0	-3.361E+0
 71.0000	-4.470E+0	-3.742E+0
 72.0000	-4.540E+0	-4.137E+0
 73.0000	-4.600E+0	-4.564E+0
 74.0000	-4.670E+0	-5.058E+0
 75.0000	-4.740E+0	-5.589E+0
 76.0000	-4.800E+0	-6.140E+0
 77.0000	-4.870E+0	-6.703E+0
 78.0000	-4.940E+0	-7.264E+0
 79.0000	-5.000E+0	-7.817E+0
 80.0000	-5.070E+0	-8.357E+0
 81.0000	-5.140E+0	-8.875E+0
 82.0000	-5.200E+0	-9.380E+0
 83.0000	-5.270E+0	-9.874E+0
 84.0000	-5.340E+0	-10.330E+0
 85.0000	-5.400E+0	-10.760E+0
 86.0000	-5.470E+0	-11.160E+0
 87.0000	-5.540E+0	-11.540E+0
 88.0000	-5.600E+0	-11.890E+0
 89.0000	-5.670E+0	-12.210E+0
 90.0000	-5.740E+0	-12.500E+0
 91.0000	-5.800E+0	-12.770E+0
