Time (s)	Extension	Load
  0.0000	0.000E+0	37.580E-3
  1.0000	0.000E+0	37.580E-3
  2.0000	0.000E+0	37.580E-3
  3.0000	0.000E+0	37.580E-3
  4.0000	0.000E+0	37.580E-3
  5.0000	-50.000E-3	26.840E-3
  6.0000	-120.000E-3	18.790E-3
  7.0000	-190.000E-3	18.790E-3
  8.0000	-250.000E-3	18.790E-3
  9.0000	-320.000E-3	18.790E-3
 10.0000	-390.000E-3	18.790E-3
 11.0000	-450.000E-3	16.100E-3
 12.0000	-520.000E-3	16.100E-3
 13.0000	-590.000E-3	16.100E-3
 14.0000	-650.000E-3	16.100E-3
 15.0000	-720.000E-3	16.100E-3
 16.0000	-790.000E-3	16.100E-3
 17.0000	-850.000E-3	16.100E-3
 18.0000	-920.000E-3	16.100E-3
 19.0000	-990.000E-3	16.100E-3
 20.0000	-1.050E+0	16.100E-3
 21.0000	-1.120E+0	16.100E-3
 22.0000	-1.190E+0	16.100E-3
 23.0000	-1.250E+0	16.100E-3
 24.0000	-1.320E+0	16.100E-3
 25.0000	-1.390E+0	16.100E-3
 26.0000	-1.450E+0	16.100E-3
 27.0000	-1.520E+0	16.100E-3
 28.0000	-1.590E+0	16.100E-3
 29.0000	-1.650E+0	16.100E-3
 30.0000	-1.720E+0	16.100E-3
 31.0000	-1.790E+0	16.100E-3
 32.0000	-1.850E+0	16.100E-3
 33.0000	-1.920E+0	16.100E-3
 34.0000	-1.990E+0	16.100E-3
 35.0000	-2.050E+0	16.100E-3
 36.0000	-2.120E+0	16.100E-3
 37.0000	-2.190E+0	16.100E-3
 38.0000	-2.250E+0	16.100E-3
 39.0000	-2.320E+0	16.100E-3
 40.0000	-2.390E+0	16.100E-3
 41.0000	-2.450E+0	16.100E-3
 42.0000	-2.520E+0	16.100E-3
 43.0000	-2.590E+0	16.100E-3
 44.0000	-2.650E+0	16.100E-3
 45.0000	-2.720E+0	16.100E-3
 46.0000	-2.790E+0	16.100E-3
 47.0000	-2.850E+0	16.100E-3
 48.0000	-2.920E+0	16.100E-3
 49.0000	-2.990E+0	16.100E-3
 50.0000	-3.050E+0	16.100E-3
 51.0000	-3.120E+0	13.420E-3
 52.0000	-3.190E+0	16.100E-3
