Time (s)	Extension	Load
  0.0000	0.000E+0	13.420E-3
  1.0000	0.000E+0	13.420E-3
  2.0000	0.000E+0	13.420E-3
  3.0000	-10.000E-3	10.730E-3
  4.0000	-80.000E-3	10.730E-3
  5.0000	-150.000E-3	10.730E-3
  6.0000	-210.000E-3	8.050E-3
  7.0000	-280.000E-3	10.730E-3
  8.0000	-350.000E-3	10.730E-3
  9.0000	-410.000E-3	10.730E-3
 10.0000	-480.000E-3	10.730E-3
 11.0000	-550.000E-3	5.360E-3
 12.0000	-610.000E-3	2.680E-3
 13.0000	-680.000E-3	5.360E-3
 14.0000	-750.000E-3	8.050E-3
 15.0000	-810.000E-3	8.050E-3
 16.0000	-880.000E-3	8.050E-3
 17.0000	-950.000E-3	8.050E-3
 18.0000	-1.010E+0	8.050E-3
 19.0000	-1.080E+0	8.050E-3
 20.0000	-1.150E+0	8.050E-3
 21.0000	-1.210E+0	8.050E-3
 22.0000	-1.280E+0	-72.490E-3
 23.0000	-1.350E+0	-284.600E-3
 24.0000	-1.410E+0	-614.800E-3
 25.0000	-1.480E+0	-1.012E+0
 26.0000	-1.550E+0	-1.434E+0
 27.0000	-1.610E+0	-1.860E+0
 28.0000	-1.680E+0	-2.282E+0
 29.0000	-1.750E+0	-2.695E+0
 30.0000	-1.810E+0	-3.122E+0
 31.0000	-1.880E+0	-3.672E+0
 32.0000	-1.950E+0	-4.244E+0
 33.0000	-2.010E+0	-4.848E+0
 34.0000	-2.080E+0	-5.476E+0
 35.0000	-2.150E+0	-6.091E+0
 36.0000	-2.210E+0	-6.682E+0
 37.0000	-2.280E+0	-7.243E+0
 38.0000	-2.350E+0	-7.772E+0
 39.0000	-2.410E+0	-8.263E+0
 40.0000	-2.480E+0	-8.719E+0
 41.0000	-2.550E+0	-9.138E+0
 42.0000	-2.610E+0	-9.519E+0
 43.0000	-2.680E+0	-9.884E+0
 44.0000	-2.750E+0	-10.200E+0
 45.0000	-2.810E+0	-10.490E+0
 46.0000	-2.880E+0	-10.750E+0
 47.0000	-2.950E+0	-10.980E+0
 48.0000	-3.010E+0	-11.180E+0
 49.0000	-3.080E+0	-11.350E+0
 50.0000	-3.150E+0	-11.500E+0
 51.0000	-3.210E+0	-11.610E+0
 52.0000	-3.280E+0	-11.710E+0
 53.0000	-3.350E+0	-11.780E+0
 54.0000	-3.410E+0	-11.820E+0
 55.0000	-3.480E+0	-11.810E+0
 56.0000	-3.550E+0	-11.730E+0
 57.0000	-3.610E+0	-11.530E+0
 58.0000	-3.680E+0	-11.170E+0
 59.0000	-3.750E+0	-10.370E+0
 60.0000	-3.810E+0	-10.030E+0
 61.0000	-3.880E+0	-9.739E+0
 62.0000	-3.950E+0	-9.433E+0
 63.0000	-4.010E+0	-9.063E+0
 64.0000	-4.080E+0	-8.902E+0
 65.0000	-4.150E+0	-8.735E+0
 66.0000	-4.210E+0	-8.617E+0
 67.0000	-4.280E+0	-8.505E+0
 68.0000	-4.350E+0	-8.497E+0
 69.0000	-4.410E+0	-8.585E+0
 70.0000	-4.480E+0	-8.660E+0
 71.0000	-4.550E+0	-8.658E+0
 72.0000	-4.610E+0	-8.636E+0
 73.0000	-4.680E+0	-8.588E+0
 74.0000	-4.750E+0	-8.497E+0
 75.0000	-4.810E+0	-8.247E+0
