Time (s)	Extension	Load
  0.0000	0.000E+0	16.100E-3
  1.0000	0.000E+0	16.100E-3
  2.0000	0.000E+0	16.100E-3
  3.0000	-30.000E-3	16.100E-3
  4.0000	-100.000E-3	16.100E-3
  5.0000	-160.000E-3	13.420E-3
  6.0000	-230.000E-3	16.100E-3
  7.0000	-300.000E-3	13.420E-3
  8.0000	-360.000E-3	13.420E-3
  9.0000	-430.000E-3	16.100E-3
 10.0000	-500.000E-3	13.420E-3
 11.0000	-560.000E-3	16.100E-3
 12.0000	-630.000E-3	13.420E-3
 13.0000	-700.000E-3	13.420E-3
 14.0000	-760.000E-3	13.420E-3
 15.0000	-830.000E-3	13.420E-3
 16.0000	-900.000E-3	13.420E-3
 17.0000	-960.000E-3	13.420E-3
 18.0000	-1.030E+0	13.420E-3
 19.0000	-1.100E+0	13.420E-3
 20.0000	-1.160E+0	16.100E-3
 21.0000	-1.230E+0	13.420E-3
 22.0000	-1.300E+0	13.420E-3
 23.0000	-1.360E+0	13.420E-3
 24.0000	-1.430E+0	13.420E-3
 25.0000	-1.500E+0	13.420E-3
 26.0000	-1.560E+0	13.420E-3
 27.0000	-1.630E+0	13.420E-3
 28.0000	-1.700E+0	13.420E-3
 29.0000	-1.760E+0	13.420E-3
 30.0000	-1.830E+0	13.420E-3
 31.0000	-1.900E+0	13.420E-3
 32.0000	-1.960E+0	13.420E-3
 33.0000	-2.030E+0	13.420E-3
 34.0000	-2.100E+0	13.420E-3
 35.0000	-2.160E+0	13.420E-3
 36.0000	-2.230E+0	13.420E-3
 37.0000	-2.300E+0	13.420E-3
 38.0000	-2.360E+0	13.420E-3
 39.0000	-2.430E+0	13.420E-3
 40.0000	-2.500E+0	16.100E-3
 41.0000	-2.560E+0	13.420E-3
 42.0000	-2.630E+0	13.420E-3
 43.0000	-2.700E+0	8.050E-3
 44.0000	-2.760E+0	8.050E-3
 45.0000	-2.830E+0	8.050E-3
 46.0000	-2.900E+0	8.050E-3
 47.0000	-2.960E+0	10.730E-3
 48.0000	-3.030E+0	-123.500E-3
 49.0000	-3.100E+0	-359.700E-3
 50.0000	-3.160E+0	-676.500E-3
 51.0000	-3.230E+0	-1.063E+0
 52.0000	-3.300E+0	-1.460E+0
 53.0000	-3.360E+0	-1.860E+0
 54.0000	-3.430E+0	-2.276E+0
 55.0000	-3.500E+0	-2.749E+0
 56.0000	-3.560E+0	-3.289E+0
 57.0000	-3.630E+0	-3.879E+0
 58.0000	-3.700E+0	-4.489E+0
 59.0000	-3.760E+0	-5.098E+0
 60.0000	-3.830E+0	-5.691E+0
 61.0000	-3.900E+0	-6.255E+0
 62.0000	-3.960E+0	-6.787E+0
 63.0000	-4.030E+0	-7.289E+0
 64.0000	-4.100E+0	-7.753E+0
 65.0000	-4.160E+0	-8.188E+0
 66.0000	-4.230E+0	-8.588E+0
 67.0000	-4.300E+0	-8.950E+0
 68.0000	-4.360E+0	-9.294E+0
 69.0000	-4.430E+0	-9.621E+0
 70.0000	-4.500E+0	-9.890E+0
