Time (s)	Extension	Load
  0.0000	0.000E+0	18.790E-3
  1.0000	0.000E+0	16.100E-3
  2.0000	0.000E+0	16.100E-3
  3.0000	-40.000E-3	16.100E-3
  4.0000	-110.000E-3	16.100E-3
  5.0000	-180.000E-3	16.100E-3
  6.0000	-240.000E-3	16.100E-3
  7.0000	-310.000E-3	16.100E-3
  8.0000	-380.000E-3	16.100E-3
  9.0000	-440.000E-3	16.100E-3
 10.0000	-510.000E-3	16.100E-3
 11.0000	-580.000E-3	16.100E-3
 12.0000	-640.000E-3	16.100E-3
 13.0000	-710.000E-3	16.100E-3
 14.0000	-780.000E-3	16.100E-3
 15.0000	-840.000E-3	16.100E-3
 16.0000	-910.000E-3	16.100E-3
 17.0000	-980.000E-3	16.100E-3
 18.0000	-1.040E+0	16.100E-3
 19.0000	-1.110E+0	16.100E-3
 20.0000	-1.180E+0	13.420E-3
 21.0000	-1.240E+0	16.100E-3
 22.0000	-1.310E+0	16.100E-3
 23.0000	-1.380E+0	16.100E-3
 24.0000	-1.440E+0	16.100E-3
 25.0000	-1.510E+0	16.100E-3
 26.0000	-1.580E+0	16.100E-3
 27.0000	-1.640E+0	16.100E-3
 28.0000	-1.710E+0	16.100E-3
 29.0000	-1.780E+0	16.100E-3
 30.0000	-1.840E+0	16.100E-3
 31.0000	-1.910E+0	16.100E-3
 32.0000	-1.980E+0	16.100E-3
 33.0000	-2.040E+0	16.100E-3
 34.0000	-2.110E+0	16.100E-3
 35.0000	-2.180E+0	16.100E-3
 36.0000	-2.240E+0	16.100E-3
 37.0000	-2.310E+0	16.100E-3
 38.0000	-2.380E+0	16.100E-3
 39.0000	-2.440E+0	16.100E-3
 40.0000	-2.510E+0	16.100E-3
 41.0000	-2.580E+0	16.100E-3
 42.0000	-2.640E+0	16.100E-3
 43.0000	-2.710E+0	16.100E-3
 44.0000	-2.780E+0	16.100E-3
 45.0000	-2.840E+0	16.100E-3
 46.0000	-2.910E+0	16.100E-3
 47.0000	-2.980E+0	16.100E-3
 48.0000	-3.040E+0	16.100E-3
 49.0000	-3.110E+0	16.100E-3
 50.0000	-3.180E+0	16.100E-3
 51.0000	-3.240E+0	16.100E-3
 52.0000	-3.310E+0	16.100E-3
 53.0000	-3.380E+0	16.100E-3
 54.0000	-3.440E+0	16.100E-3
 55.0000	-3.510E+0	16.100E-3
 56.0000	-3.580E+0	16.100E-3
 57.0000	-3.640E+0	16.100E-3
 58.0000	-3.710E+0	16.100E-3
 59.0000	-3.780E+0	16.100E-3
 60.0000	-3.840E+0	16.100E-3
 61.0000	-3.910E+0	16.100E-3
 62.0000	-3.980E+0	16.100E-3
 63.0000	-4.040E+0	16.100E-3
 64.0000	-4.110E+0	16.100E-3
 65.0000	-4.180E+0	16.100E-3
 66.0000	-4.240E+0	16.100E-3
 67.0000	-4.310E+0	16.100E-3
 68.0000	-4.370E+0	-37.590E-3
 69.0000	-4.440E+0	-83.230E-3
