Time (s)	Extension	Load
  0.0000	0.000E+0	16.100E-3
  1.0000	0.000E+0	16.100E-3
  2.0000	-30.000E-3	16.100E-3
  3.0000	-100.000E-3	16.100E-3
  4.0000	-170.000E-3	16.100E-3
  5.0000	-230.000E-3	16.100E-3
  6.0000	-300.000E-3	16.100E-3
  7.0000	-370.000E-3	16.100E-3
  8.0000	-430.000E-3	16.100E-3
  9.0000	-500.000E-3	16.100E-3
 10.0000	-570.000E-3	16.100E-3
 11.0000	-630.000E-3	16.100E-3
 12.0000	-700.000E-3	16.100E-3
 13.0000	-770.000E-3	16.100E-3
 14.0000	-830.000E-3	16.100E-3
 15.0000	-900.000E-3	16.100E-3
 16.0000	-970.000E-3	16.100E-3
 17.0000	-1.030E+0	16.100E-3
 18.0000	-1.100E+0	16.100E-3
 19.0000	-1.170E+0	16.100E-3
 20.0000	-1.230E+0	16.100E-3
 21.0000	-1.300E+0	16.100E-3
 22.0000	-1.370E+0	16.100E-3
 23.0000	-1.430E+0	16.100E-3
 24.0000	-1.500E+0	16.100E-3
 25.0000	-1.570E+0	16.100E-3
 26.0000	-1.630E+0	16.100E-3
 27.0000	-1.700E+0	16.100E-3
 28.0000	-1.770E+0	16.100E-3
 29.0000	-1.830E+0	16.100E-3
 30.0000	-1.900E+0	16.100E-3
 31.0000	-1.970E+0	16.100E-3
 32.0000	-2.030E+0	13.420E-3
 33.0000	-2.100E+0	13.420E-3
 34.0000	-2.170E+0	13.420E-3
 35.0000	-2.230E+0	13.420E-3
 36.0000	-2.300E+0	13.420E-3
 37.0000	-2.370E+0	16.100E-3
 38.0000	-2.430E+0	13.420E-3
 39.0000	-2.500E+0	13.420E-3
 40.0000	-2.570E+0	16.100E-3
 41.0000	-2.630E+0	-45.640E-3
 42.0000	-2.700E+0	-158.400E-3
 43.0000	-2.770E+0	-324.800E-3
 44.0000	-2.830E+0	-531.500E-3
 45.0000	-2.900E+0	-786.600E-3
 46.0000	-2.970E+0	-1.098E+0
 47.0000	-3.030E+0	-1.425E+0
 48.0000	-3.100E+0	-1.785E+0
 49.0000	-3.170E+0	-2.191E+0
 50.0000	-3.230E+0	-2.650E+0
 51.0000	-3.300E+0	-3.168E+0
 52.0000	-3.370E+0	-3.758E+0
 53.0000	-3.430E+0	-4.381E+0
 54.0000	-3.500E+0	-5.007E+0
 55.0000	-3.570E+0	-5.646E+0
 56.0000	-3.630E+0	-6.282E+0
 57.0000	-3.700E+0	-6.902E+0
 58.0000	-3.770E+0	-7.511E+0
 59.0000	-3.830E+0	-8.099E+0
 60.0000	-3.900E+0	-8.668E+0
 61.0000	-3.970E+0	-9.208E+0
 62.0000	-4.030E+0	-9.739E+0
 63.0000	-4.100E+0	-10.230E+0
 64.0000	-4.170E+0	-10.700E+0
 65.0000	-4.230E+0	-11.130E+0
 66.0000	-4.300E+0	-11.530E+0
 67.0000	-4.370E+0	-11.910E+0
 68.0000	-4.430E+0	-12.260E+0
 69.0000	-4.500E+0	-12.580E+0
