Time (s)	Extension	Load
  0.0000	0.000E+0	16.100E-3
  1.0000	0.000E+0	16.100E-3
  2.0000	0.000E+0	16.100E-3
  3.0000	0.000E+0	16.100E-3
  4.0000	-10.000E-3	16.100E-3
  5.0000	-70.000E-3	16.100E-3
  6.0000	-140.000E-3	16.100E-3
  7.0000	-210.000E-3	16.100E-3
  8.0000	-270.000E-3	16.100E-3
  9.0000	-340.000E-3	16.100E-3
 10.0000	-410.000E-3	16.100E-3
 11.0000	-470.000E-3	16.100E-3
 12.0000	-540.000E-3	16.100E-3
 13.0000	-610.000E-3	16.100E-3
 14.0000	-670.000E-3	16.100E-3
 15.0000	-740.000E-3	16.100E-3
 16.0000	-810.000E-3	13.420E-3
 17.0000	-870.000E-3	16.100E-3
 18.0000	-940.000E-3	16.100E-3
 19.0000	-1.010E+0	16.100E-3
 20.0000	-1.070E+0	16.100E-3
 21.0000	-1.140E+0	16.100E-3
 22.0000	-1.210E+0	16.100E-3
 23.0000	-1.270E+0	16.100E-3
 24.0000	-1.340E+0	16.100E-3
 25.0000	-1.410E+0	16.100E-3
 26.0000	-1.470E+0	16.100E-3
 27.0000	-1.540E+0	16.100E-3
 28.0000	-1.610E+0	16.100E-3
 29.0000	-1.670E+0	16.100E-3
 30.0000	-1.740E+0	16.100E-3
 31.0000	-1.810E+0	16.100E-3
 32.0000	-1.870E+0	16.100E-3
 33.0000	-1.940E+0	16.100E-3
 34.0000	-2.010E+0	16.100E-3
 35.0000	-2.070E+0	16.100E-3
 36.0000	-2.140E+0	16.100E-3
 37.0000	-2.210E+0	16.100E-3
 38.0000	-2.270E+0	16.100E-3
 39.0000	-2.340E+0	16.100E-3
 40.0000	-2.410E+0	16.100E-3
 41.0000	-2.480E+0	16.100E-3
 42.0000	-2.540E+0	16.100E-3
 43.0000	-2.610E+0	16.100E-3
 44.0000	-2.680E+0	16.100E-3
 45.0000	-2.740E+0	16.100E-3
 46.0000	-2.810E+0	16.100E-3
 47.0000	-2.880E+0	16.100E-3
 48.0000	-2.940E+0	16.100E-3
 49.0000	-3.010E+0	16.100E-3
 50.0000	-3.070E+0	16.100E-3
 51.0000	-3.140E+0	16.100E-3
 52.0000	-3.210E+0	16.100E-3
 53.0000	-3.270E+0	16.100E-3
 54.0000	-3.340E+0	16.100E-3
 55.0000	-3.410E+0	16.100E-3
 56.0000	-3.470E+0	16.100E-3
 57.0000	-3.540E+0	16.100E-3
 58.0000	-3.610E+0	16.100E-3
 59.0000	-3.670E+0	16.100E-3
 60.0000	-3.740E+0	16.100E-3
 61.0000	-3.810E+0	16.100E-3
 62.0000	-3.870E+0	16.100E-3
 63.0000	-3.940E+0	16.100E-3
 64.0000	-4.010E+0	16.100E-3
 65.0000	-4.080E+0	16.100E-3
 66.0000	-4.140E+0	-40.270E-3
 67.0000	-4.210E+0	-142.300E-3
 68.0000	-4.280E+0	-343.600E-3
 69.0000	-4.340E+0	-663.100E-3
 70.0000	-4.410E+0	-1.085E+0
